0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
8.41808218571e-32,0.0,0.0,1.13771943872e-31,0.0,2.74358005077e-07,2.74358005077e-07,2.40171734708e-15,-120.639806398
1.11423344638e-31,0.0,0.0,1.48646406299e-31,0.0,2.84864359465e-07,2.84864359465e-07,2.7362346958e-15,-120.479804798
1.47395338056e-31,0.0,0.0,1.94106520251e-31,0.0,2.95750972786e-07,2.95750972786e-07,3.1164733428e-15,-120.319803198
1.94865892917e-31,0.0,0.0,2.53333316252e-31,0.0,3.07030721251e-07,3.07030721251e-07,3.54855963168e-15,-120.159801598
2.57473444905e-31,0.0,0.0,3.30453964665e-31,0.0,3.18716882959e-07,3.18716882959e-07,4.03942379387e-15,-119.999799998
3.39995824281e-31,0.0,0.0,4.30820241119e-31,0.0,3.3082314918e-07,3.3082314918e-07,4.59690312205e-15,-119.839798398
4.48703286189e-31,0.0,0.0,5.61368069489e-31,0.0,3.43363635925e-07,3.43363635925e-07,5.22985807674e-15,-119.679796798
5.91819737142e-31,0.0,0.0,7.31081488865e-31,0.0,3.56352895775e-07,3.56352895775e-07,5.94830290733e-15,-119.519795198
7.8012494837e-31,0.0,0.0,9.51591037632e-31,0.0,3.69805930012e-07,3.69805930012e-07,6.76355255623e-15,-119.359793598
1.02774037092e-30,0.0,0.0,1.23794506469e-30,0.0,3.83738201026e-07,3.83738201026e-07,7.68838782535e-15,-119.199791998
1.3531539003e-30,0.0,0.0,1.60960338506e-30,0.0,3.98165645022e-07,3.98165645022e-07,8.73724101755e-15,-119.039790398
1.78055543119e-30,0.0,0.0,2.09171665731e-30,0.0,4.1310468502e-07,4.1310468502e-07,9.92640452697e-15,-118.879788798
2.34157639122e-30,0.0,0.0,2.71677271784e-30,0.0,4.28572244166e-07,4.28572244166e-07,1.12742651425e-14,-118.719787198
3.07755406069e-30,0.0,0.0,3.52671393658e-30,0.0,4.44585759352e-07,4.44585759352e-07,1.28015671526e-14,-118.559785598
4.04247718887e-30,0.0,0.0,4.57565882808e-30,0.0,4.61163195142e-07,4.61163195142e-07,1.45317077014e-14,-118.399783998
5.30681554779e-30,0.0,0.0,5.93339839985e-30,0.0,4.78323058031e-07,4.78323058031e-07,1.6491068244e-14,-118.239782398
6.96249562579e-30,0.0,0.0,7.68988525637e-30,0.0,4.96084411026e-07,4.96084411026e-07,1.8709386402e-14,-118.079780798
9.12936152026e-30,0.0,0.0,9.96099410905e-30,0.0,5.14466888549e-07,5.14466888549e-07,2.12201730099e-14,-117.919779198
1.1963559199e-29,0.0,0.0,1.28959096327e-29,0.0,5.33490711693e-07,5.33490711693e-07,2.40611797026e-14,-117.759777598
1.56684100262e-29,0.0,0.0,1.66865960769e-29,0.0,5.5317670381e-07,5.5317670381e-07,2.7274923004e-14,-117.599775998
2.05085039517e-29,0.0,0.0,2.15799284179e-29,0.0,5.7354630645e-07,5.7354630645e-07,3.09092715627e-14,-117.439774398
2.68279544907e-29,0.0,0.0,2.78932243808e-29,0.0,5.94621595651e-07,5.94621595651e-07,3.50181039393e-14,-117.279772798
3.50740299692e-29,0.0,0.0,3.60341195726e-29,0.0,6.16425298596e-07,6.16425298596e-07,3.96620451903e-14,-117.119771198
4.58277256019e-29,0.0,0.0,4.65259858746e-29,0.0,6.38980810628e-07,6.38980810628e-07,4.49092914343e-14,-116.959769598
5.984329072e-29,0.0,0.0,6.00404208717e-29,0.0,6.62312212638e-07,6.62312212638e-07,5.08365326191e-14,-116.799767998
7.80993028758e-29,0.0,0.0,7.74387520482e-29,0.0,6.86444288829e-07,6.86444288829e-07,5.75299848658e-14,-116.639766398
1.01864621378e-28,0.0,0.0,9.98250272576e-29,0.0,7.11402544863e-07,7.11402544863e-07,6.50865450398e-14,-116.479764798
1.32783502722e-28,0.0,0.0,1.28613632262e-28,0.0,7.37213226398e-07,7.37213226398e-07,7.36150816194e-14,-116.319763198
1.72985377583e-28,0.0,0.0,1.65615524368e-28,0.0,7.63903338011e-07,7.63903338011e-07,8.32378775007e-14,-116.159761598
2.25226347781e-28,0.0,0.0,2.13148145608e-28,0.0,7.91500662529e-07,7.91500662529e-07,9.40922421178e-14,-115.999759998
2.93071456466e-28,0.0,0.0,2.74175438999e-28,0.0,8.20033780758e-07,8.20033780758e-07,1.06332312187e-13,-115.839758398
3.81129336072e-28,0.0,0.0,3.52486112201e-28,0.0,8.49532091626e-07,8.49532091626e-07,1.20131062511e-13,-115.679756798
4.95354099569e-28,0.0,0.0,4.52920468663e-28,0.0,8.80025832743e-07,8.80025832743e-07,1.35682550655e-13,-115.519755198
6.43433505825e-28,0.0,0.0,5.8165887591e-28,0.0,9.1154610138e-07,9.1154610138e-07,1.53204421897e-13,-115.359753598
8.35287747056e-28,0.0,0.0,7.46588413195e-28,0.0,9.44124875875e-07,9.44124875875e-07,1.72940703769e-13,-115.199751998
1.08370998943e-27,0.0,0.0,9.57768623953e-28,0.0,9.77795037474e-07,9.77795037474e-07,1.95164922685e-13,-115.039750398
1.4051884456e-27,0.0,0.0,1.22802282785e-27,0.0,1.01259039261e-06,1.01259039261e-06,2.20183578686e-13,-114.879748797
1.82096077598e-27,0.0,0.0,1.57368841845e-27,0.0,1.04854569563e-06,1.04854569563e-06,2.48340018242e-13,-114.719747197
2.35836564434e-27,0.0,0.0,2.01556835647e-27,0.0,1.08569667196e-06,1.08569667196e-06,2.80018749355e-13,-114.559745597
3.05257410445e-27,0.0,0.0,2.58013713006e-27,0.0,1.12408004173e-06,1.12408004173e-06,3.15650247958e-13,-114.399743997
3.94880619489e-27,0.0,0.0,3.3010683751e-27,0.0,1.16373354387e-06,1.16373354387e-06,3.55716309875e-13,-114.239742397
5.10516696766e-27,0.0,0.0,4.22116885936e-27,0.0,1.20469596067e-06,1.20469596067e-06,4.00756008383e-13,-114.079740797
6.59627281422e-27,0.0,0.0,5.39482554708e-27,0.0,1.24700714278e-06,1.24700714278e-06,4.51372323822e-13,-113.919739197
8.51788545462e-27,0.0,0.0,6.89110011608e-27,0.0,1.29070803473e-06,1.29070803473e-06,5.08239518734e-13,-113.759737597
1.09928299382e-26,0.0,0.0,8.79764002486e-27,0.0,1.33584070091e-06,1.33584070091e-06,5.72111339787e-13,-113.599735997
1.41785477702e-26,0.0,0.0,1.12256188031e-26,0.0,1.38244835202e-06,1.38244835202e-06,6.43830136289e-13,-113.439734397
1.82767309924e-26,0.0,0.0,1.43159728902e-26,0.0,1.43057537205e-06,1.43057537205e-06,7.24336994525e-13,-113.279732797
2.35456029465e-26,0.0,0.0,1.82472708468e-26,0.0,1.48026734572e-06,1.48026734572e-06,8.14682997527e-13,-113.119731197
3.0315563148e-26,0.0,0.0,2.32456365758e-26,0.0,1.53157108645e-06,1.53157108645e-06,9.16041731293e-13,-112.959729597
3.90091054949e-26,0.0,0.0,2.95972556173e-26,0.0,1.58453466481e-06,1.58453466481e-06,1.02972317105e-12,-112.799727997
5.01661613774e-26,0.0,0.0,3.7664128003e-26,0.0,1.6392074375e-06,1.6392074375e-06,1.15718909498e-12,-112.639726397
6.44763252704e-26,0.0,0.0,4.79038992432e-26,0.0,1.69564007684e-06,1.69564007684e-06,1.30007018795e-12,-112.479724797
8.28198065548e-26,0.0,0.0,6.08948110904e-26,0.0,1.75388460074e-06,1.75388460074e-06,1.4601850146e-12,-112.319723197
1.06319438308e-25,0.0,0.0,7.73670761056e-26,0.0,1.8139944033e-06,1.8139944033e-06,1.63956105936e-12,-112.159721597
